Название проекта	             Автор	                                                  Адаптор
COFFEE&BRAIN	                 МЕОД (Молодежное Еврейское Образование Днепропетровска)	Гилель, Хабаровск

Живые Квесты	Игра головой, Санкт Петербург	Подарок Киев
Живые Квесты	Игра головой, Санкт Петербург	ЕСКЦ «Гилель» г. Симферополь
Memory|Art	Сохнут Киев	Гилель, Москва
Проект «TextNext»	JewF.I.S.H. Project, Москва	Культурно-Образовательное Сообщество «Миграш-Балтия», Рига
Проект «TextNext»	JewF.I.S.H. Project, Москва	Migrash.Community of practice Самара
Проект «TextNext»	JewF.I.S.H. Project, Москва	Гилель, Петербург
CВОБОДА ОБРАЗОВАНИЯ	Migrash.Community of practice Самара	ОО Амута, Харьков
Семь Сорок	ОО «Амута», Харьков	Шиурей Тора Любавич, Днепропетровск
Таки ДА	AO «Vulturas», Кишинев	ОО «Тульский областной еврейский благотворительный Центр «Хасдэй Нэшама»\»Милосердие», Тула
Таки ДА	AO «Vulturas», Кишинев	ВГОБО «Еврейский общинный центр», Волгоград
Шабат Хост	Мидраша Ционит, Киев	МЕОД (Молодежное Еврейское Образование Днепропетровска)
«Школа еврейского лидерства»	НЕЦЕР России, Москва	Еврейская община Калининграда
